label,Text
Couldn't be improved,Nothing.
Environment/ facilities,Temperature in theatre a little low.
Access,Same service available at Bingham Health Centre.
Communication,"Appointment details given over phone - no physical evidence/reminder which could cause problems. Other than that, nothing apparent, thank you. Service on the day excellent, thank you."
Communication,On one occasion I was not made aware that my appointment could not be kept until I arrived at the centre. A phone call would have saved me a 22 mile round trip which would have been costly if I had had to take a taxi.
Environment/ facilities,"The blood pressure monitor and cuff smelt of cigarettes which was quite unpleasant. Also old perfume/aftershave. I don't know if there is any way of removing the smell in between users, but it would be an improvement."
Couldn't be improved,Nothing at present.
Access,Long wait for the appointment.
Dignity,"2 Staff Members I had an issue with in regards to lack of patience with my capabilities, seeming to be interested in moving onto the next job."
Couldn't be improved,Absolutely nothing
Communication,"Be more specific with time of visit, i.e. early or late morning; early or late afternoon"
Couldn't be improved,Nothing
Couldn't be improved,Nothing the care was brilliant
Access,Really would like appointments closer together - they are too far apart for
Staff,"The support you receive is wholly variable based on who you speak to. At times the patronising, condescending and dismissive nature of some crisis team s"
Staff,Reception staff some good some really awful.
Couldn't be improved,Nothing
Couldn't be improved,Cant think of anything.
Couldn't be improved,"No, happy with service."
Couldn't be improved,Nothing
Couldn't be improved,Happy with the service.
Care received,Have more respiratory patients.
Couldn't be improved,Nothing.
Couldn't be improved,"Nothing.
"
Couldn't be improved,Everything has been ok thanks.
Couldn't be improved,Nothing you have all been brilliant.
Couldn't be improved,All good.
Couldn't be improved,very happy with all service
Couldn't be improved,Nothing. I came for a blood pressure monitor. Not an unpleasant experience.
Couldn't be improved,Not sure?
Staff,"A lot. Our baby girl was born 6 weeks premature, mid 2019. She had a 8 - 12 month assessment form filled by myself. In [Redacted for data protection], it was given to the home visitor on [Redacted for data protection]. Due to my girl not having stood up supported by that time, and also COVID preventing the home visitor doing a height measurement and head measurement, they told us that they would return in [Redacted for data protection] to check on the gross motor skills and to do a full height measurement etc.  We then had a second visit week commencing [Redacted for data protection], my baby girl was standing up at the sofa on her own and was weighed and measured.  The same home visitor as before then asked if I had filled in the assessment form and I told her we had given it to her on her last visit.  The very next thing she said was the form we were given was incorrect it was for a full term baby and we should have been given a premature baby assessment form, therefore, my baby was on target for her adjusted age and doing fine in all areas and so this second meeting was not required.  How can someone question whether we had filled in a form and then say in the next breath, the form filled in was for full term babies? My assumption here is the form has gone missing!!  I then asked whether there would be any further assessments and she told me no not until the baby is 2 years old.  Fast forward to [Redacted for data protection] - now had another letter requesting a growth review!!! The NHS website states that these weight checks etc should be carried out NO MORE than every 3 months and that once the 1 year assessment is complete the next one is at 2 years old.  We have had 3 in 3 months!!  I point blank refuse to go to this one and will not be going to anymore until my baby is 2 years old, it is taking time out of mine or my husbands work for each one of these assessments, we have now been lied to, more than once. If my baby girl is not on track for her growth why are we not being told at the assessment?  According to her red book, all her measurements are fine or are we being lied to again? If a further assessment is required I want a full reason as to why, I want an explanation on why we haven't been told at past assessments. I also want compensation for loss of earnings for every future assessment before 2 years old, we have to attend whilst in working hours! Get it sorted!"
Care received,Let people get rest properly. Checking every hour and opening doors then relocking them means I haven't have one good night rest since I arrived. The food is not good in my opinion.
